"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Gpnmb" 1.58410008035455e-91 -3.70067275722567 0.089 0.423 3.45270453514077e-87 "0" "Gpnmb"
"Ddhd1" 1.40852579145905e-85 -1.82975180567041 0.296 0.649 3.07002281506414e-81 "0" "Ddhd1"
"Klra2" 5.95254661696223e-77 1.76455511733852 0.584 0.275 1.29741706063309e-72 "0" "Klra2"
"Itga9" 3.16069746826287e-69 1.99820365096913 0.557 0.28 6.88905620182575e-65 "0" "Itga9"
"Lyst" 7.20743798479677e-65 -1.33776504535558 0.339 0.649 1.5709331831663e-60 "0" "Lyst"
"Maml3" 8.15942710586795e-65 1.08619538806838 0.819 0.635 1.77842873199498e-60 "0" "Maml3"
"Fyb" 1.49125738815311e-63 0.803265957159939 0.92 0.801 3.25034460321851e-59 "0" "Fyb"
"Ccr2" 1.67898349081186e-63 1.28192933557651 0.686 0.42 3.65951241657354e-59 "0" "Ccr2"
"Camk1d" 9.00197655314523e-63 0.601562155073993 0.979 0.955 1.96207080952353e-58 "0" "Camk1d"
"Tgfbr1" 1.94161950161162e-61 0.900311446778423 0.915 0.857 4.23195386571268e-57 "0" "Tgfbr1"
"Fnip2" 5.58979354444349e-57 -1.56878099119831 0.403 0.655 1.2183514009469e-52 "0" "Fnip2"
"Cd200r1" 2.09070955525446e-55 -1.71899178207099 0.158 0.434 4.55691054663261e-51 "0" "Cd200r1"
"Ctsc" 6.76831394549808e-52 0.989677276670005 0.79 0.609 1.47522170756076e-47 "0" "Ctsc"
"Atp6v0d2" 2.64655635899447e-51 -4.11301984790362 0.033 0.231 5.76843424006435e-47 "0" "Atp6v0d2"
"Lpcat2" 8.65173869723198e-51 1.09548156856825 0.702 0.52 1.88573296644868e-46 "0" "Lpcat2"
"Mef2c" 1.62990161534056e-50 1.00515948580482 0.77 0.616 3.55253356079628e-46 "0" "Mef2c"
"Osbpl8" 1.17252461067903e-49 -1.00193924586985 0.652 0.833 2.55563464143602e-45 "0" "Osbpl8"
"Zfhx3" 2.60080645773845e-49 0.869299208499072 0.833 0.72 5.66871775528674e-45 "0" "Zfhx3"
"Cx3cr1" 1.1194600807736e-48 1.13767011986494 0.626 0.388 2.43997519205413e-44 "0" "Cx3cr1"
"Zswim6" 2.41470366741102e-47 0.727738247020014 0.892 0.804 5.26308811348905e-43 "0" "Zswim6"
"Neat1" 2.43714132149661e-47 -1.01546230144339 0.724 0.855 5.31199322433402e-43 "0" "Neat1"
"Gas2l3" 4.77103480700169e-45 -1.64842475404157 0.105 0.337 1.03989474653409e-40 "0" "Gas2l3"
"Cd274" 6.04960914691394e-45 -2.25904272564578 0.051 0.25 1.31857280966136e-40 "0" "Cd274"
"Ly86" 7.76268370445001e-45 0.969642344556634 0.79 0.651 1.69195454022193e-40 "0" "Ly86"
"Tanc2" 6.47466121878491e-44 1.46515233482618 0.636 0.466 1.41121715924636e-39 "0" "Tanc2"
"Dmxl2" 1.64145755360697e-43 -1.48698813759854 0.236 0.48 3.57772088384174e-39 "0" "Dmxl2"
"Ssh2" 4.98668389198259e-43 0.704302921846202 0.865 0.769 1.08689762109652e-38 "0" "Ssh2"
"Rftn1" 2.37451836991026e-42 -0.838318309804314 0.656 0.804 5.1755002390564e-38 "0" "Rftn1"
"Zranb3" 8.45641569598358e-42 -2.15748335703037 0.066 0.263 1.84316036509658e-37 "0" "Zranb3"
"Ahnak2" 2.11449192584062e-41 -3.05401766007098 0.032 0.203 4.60874660156222e-37 "0" "Ahnak2"
"Xdh" 8.66545493228336e-41 -1.2755356801919 0.221 0.468 1.88872255704048e-36 "0" "Xdh"
"Lgals3" 1.33372694972055e-40 -1.24170287428192 0.352 0.592 2.90699125961091e-36 "0" "Lgals3"
"Gpr137b" 3.10985168669325e-40 -1.60783652660407 0.108 0.324 6.77823273631661e-36 "0" "Gpr137b"
"Dab2" 4.93755810556908e-40 1.02261924333416 0.753 0.617 1.07619016468984e-35 "0" "Dab2"
"Pmepa1" 1.33150722570494e-39 1.13684198219807 0.648 0.487 2.90215314914649e-35 "0" "Pmepa1"
"Lonrf3" 1.68159309920839e-39 -2.42578189000869 0.036 0.205 3.66520031903461e-35 "0" "Lonrf3"
"Asb2" 2.90777790319815e-39 2.05760198604924 0.283 0.094 6.33779271781069e-35 "0" "Asb2"
"Rnf128" 4.22194471813564e-39 -3.48040856738773 0.019 0.17 9.20215070764844e-35 "0" "Rnf128"
"Bcar3" 2.56527292091437e-38 -1.17152933199424 0.287 0.528 5.59126885842497e-34 "0" "Bcar3"
"Col1a1" 3.17752250020231e-38 1.2680373508987 0.633 0.48 6.92572804144095e-34 "0" "Col1a1"
"Syngr1" 4.56674017772955e-37 -1.56333241641257 0.105 0.309 9.95366689137934e-33 "0" "Syngr1"
"Fry" 8.85529014010025e-37 -0.939733115742042 0.391 0.627 1.93009903893625e-32 "0" "Fry"
"Pde4d" 2.57616386448043e-36 -1.22879481380258 0.397 0.62 5.61500675902155e-32 "0" "Pde4d"
"Fgd2" 2.97913271370505e-36 1.13646121779994 0.528 0.331 6.49331766279154e-32 "0" "Fgd2"
