"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Apobec1" 1.11155660416279e-289 2.01922713761274 0.933 0.499 2.42274877443321e-285 "IM" "Apobec1"
"Fyb" 4.8243547463549e-287 1.97061614392424 0.931 0.344 1.05151636051551e-282 "IM" "Fyb"
"Ms4a7" 2.31504373633684e-241 3.99400049777186 0.626 0.066 5.04586932771977e-237 "IM" "Ms4a7"
"Htr2c" 5.61697186204058e-238 -8.35911899717329 0.015 0.463 1.22427518705036e-233 "IM" "Htr2c"
"Stab1" 1.59097217087481e-232 3.47002563654599 0.642 0.089 3.46768294363873e-228 "IM" "Stab1"
"Chil3" 7.96171321437804e-231 -6.77070965928154 0.027 0.476 1.73533501220584e-226 "IM" "Chil3"
"Apoe" 7.9220136967612e-226 2.06859775473827 0.897 0.394 1.72668210534607e-221 "IM" "Apoe"
"Ophn1" 1.06392454932841e-225 2.60629590831365 0.77 0.288 2.31892994771621e-221 "IM" "Ophn1"
"C530008M17Rik" 4.5664320984129e-225 -6.00618439414877 0.029 0.468 9.95299540170075e-221 "IM" "C530008M17Rik"
"Kcnn3" 2.69564098468047e-216 -6.46396824858303 0.014 0.43 5.87541909020955e-212 "IM" "Kcnn3"
"Mgll" 1.15121392782738e-211 -6.02783846310592 0.018 0.432 2.50918587709256e-207 "IM" "Mgll"
"Lgmn" 1.12579601474193e-207 2.14852890297193 0.789 0.311 2.45378499373152e-203 "IM" "Lgmn"
"Ly75" 4.12397447837721e-207 -5.09517712564483 0.035 0.455 8.98861477307097e-203 "IM" "Ly75"
"Arhgap22" 1.51979244314814e-205 2.03019044915907 0.803 0.273 3.31253960908568e-201 "IM" "Arhgap22"
"Sash1" 2.71648505999354e-204 2.08490660117752 0.782 0.279 5.92085083676193e-200 "IM" "Sash1"
"Gm2245" 2.02206597155085e-199 2.1264186854589 0.723 0.177 4.40729499159224e-195 "IM" "Gm2245"
"Card11" 2.24440353885365e-196 -3.18804525778519 0.17 0.607 4.89190195328542e-192 "IM" "Card11"
"Arhgap26" 3.17383479692956e-196 -2.02285924330773 0.453 0.811 6.91769032338766e-192 "IM" "Arhgap26"
"Mef2c" 3.08009269769988e-195 2.08856104969206 0.767 0.266 6.71337004390666e-191 "IM" "Mef2c"
"Prkcb" 1.78240631005155e-189 1.51383413969841 0.849 0.317 3.88493279338836e-185 "IM" "Prkcb"
"Adap2os" 3.30723476132291e-189 2.52018674767567 0.674 0.183 7.20844888577941e-185 "IM" "Adap2os"
"Atp6v0d2" 8.73642323835835e-188 -2.97185559582767 0.128 0.566 1.90419080903259e-183 "IM" "Atp6v0d2"
"Kcnip4" 2.59477238298174e-186 -6.41210952813981 0.162 0.56 5.65556588594699e-182 "IM" "Kcnip4"
"Blnk" 1.17757066502984e-183 2.34517352208989 0.656 0.155 2.56663302149903e-179 "IM" "Blnk"
"Atp10a" 2.45927490945941e-183 -3.52520077229393 0.165 0.578 5.36023559265773e-179 "IM" "Atp10a"
"Ms4a8a" 1.52130267986796e-182 -4.72641943205909 0.036 0.419 3.3158313210402e-178 "IM" "Ms4a8a"
"Tcf7l2" 1.81544011304648e-182 -3.21495650228425 0.416 0.72 3.95693327039611e-178 "IM" "Tcf7l2"
"Plcb1" 8.48940487154228e-177 -3.30175159804378 0.198 0.608 1.85035068580136e-172 "IM" "Plcb1"
"Slc7a2" 3.25049806865919e-175 -3.57882126333087 0.076 0.472 7.08478559044957e-171 "IM" "Slc7a2"
"Itga6" 1.49315477249477e-173 2.6698491689405 0.616 0.152 3.2544801421296e-169 "IM" "Itga6"
"C1qb" 1.76910837634872e-170 2.89390781861348 0.558 0.091 3.85594861708968e-166 "IM" "C1qb"
"Kcnk13" 8.53749261512452e-168 2.21136769645818 0.651 0.171 1.86083189039254e-163 "IM" "Kcnk13"
"Nedd9" 1.11617774101342e-165 -1.73649218846415 0.594 0.831 2.43282100431284e-161 "IM" "Nedd9"
"Ly86" 6.80563630835385e-164 1.84115439423526 0.78 0.321 1.48335648976881e-159 "IM" "Ly86"
"Plekhg1" 2.26203013676883e-163 -2.85551519539235 0.282 0.637 4.93032088610135e-159 "IM" "Plekhg1"
"Ptpn12" 1.02460643297119e-162 -2.2294823588463 0.534 0.778 2.23323218130401e-158 "IM" "Ptpn12"
"Itga9" 2.2450615846642e-161 3.25613823871205 0.523 0.086 4.89333622993409e-157 "IM" "Itga9"
"Frmd4b" 2.32637701326342e-160 1.43439237018227 0.881 0.541 5.07057133810895e-156 "IM" "Frmd4b"
"Tcf4" 4.48161008853049e-158 1.21846712531752 0.861 0.482 9.76811734896106e-154 "IM" "Tcf4"
